axis,vector_type,layer,coeff,bbq_accuracy,mmlu_accuracy
age,train,13,1.8,0.66,0.431
appearance,train,13,1.8,0.587,0.452
disability,train,14,1.6,0.65,0.457
gender,train,14,1.8,0.537,0.464
nationality,train,13,2.0,0.567,0.447
race,train,13,1.8,0.603,0.451
religion,train,13,1.6,0.667,0.461
socioeconomic,train,13,1.8,0.773,0.422
