layer,sep_score
1,0.48666666666666664
2,0.4833333333333333
3,0.4866666666666667
4,0.5
5,0.51
6,0.515
7,0.5216666666666667
8,0.5366666666666667
9,0.5000000000000001
10,0.6016666666666667
11,0.6533333333333333
12,0.6666666666666666
13,0.7433333333333334
14,0.7233333333333334
15,0.7216666666666667
16,0.7283333333333333
17,0.7083333333333333
18,0.7116666666666667
19,0.7083333333333334
20,0.7050000000000001
21,0.6966666666666667
22,0.7000000000000001
23,0.7
24,0.7016666666666668
25,0.7066666666666667
26,0.7083333333333334
27,0.71
28,0.7083333333333334
29,0.7116666666666667
30,0.725
31,0.735
