layer,sep_score
1,0.54
2,0.5333333333333334
3,0.5283333333333333
4,0.5366666666666665
5,0.5449999999999999
6,0.5333333333333333
7,0.5599999999999999
8,0.5549999999999999
9,0.5366666666666667
10,0.4883333333333333
11,0.6766666666666667
12,0.6816666666666668
13,0.7383333333333333
14,0.7466666666666668
15,0.7550000000000001
16,0.7266666666666666
17,0.7333333333333332
18,0.735
19,0.7233333333333334
20,0.7249999999999999
21,0.7233333333333334
22,0.7216666666666666
23,0.72
24,0.7166666666666666
25,0.7133333333333334
26,0.7083333333333333
27,0.6966666666666667
28,0.6883333333333332
29,0.6883333333333332
30,0.6933333333333334
31,0.685
