layer,sep_score
1,0.5449999999999999
2,0.44666666666666666
3,0.49333333333333335
4,0.5066666666666666
5,0.5416666666666666
6,0.5483333333333332
7,0.54
8,0.555
9,0.5533333333333333
10,0.515
11,0.5133333333333334
12,0.5850000000000001
13,0.6866666666666666
14,0.6966666666666665
15,0.7283333333333333
16,0.6733333333333333
17,0.7133333333333332
18,0.6816666666666666
19,0.6916666666666667
20,0.68
21,0.6666666666666667
22,0.6733333333333335
23,0.6716666666666666
24,0.6783333333333333
25,0.6849999999999999
26,0.6966666666666665
27,0.6866666666666666
28,0.7066666666666666
29,0.7083333333333333
30,0.7216666666666666
31,0.7166666666666667
