layer,sep_score
1,0.5583333333333333
2,0.65
3,0.8116666666666668
4,0.6683333333333333
5,1.0
6,0.9983333333333334
7,0.9416666666666667
8,0.9283333333333333
9,0.915
10,0.7416666666666667
11,0.9466666666666665
12,0.865
13,0.8966666666666667
14,0.9483333333333335
15,0.8466666666666667
16,0.7916666666666667
17,0.8216666666666667
18,0.8166666666666667
19,0.7683333333333333
20,0.7583333333333333
21,0.76
22,0.7833333333333332
23,0.7833333333333334
24,0.7683333333333333
25,0.7733333333333333
26,0.765
27,0.7666666666666667
28,0.7716666666666667
29,0.7633333333333334
30,0.7616666666666666
31,0.7183333333333334
