layer,sep_score
1,0.5983333333333334
2,0.5983333333333334
3,0.5983333333333334
4,0.5983333333333334
5,0.5983333333333334
6,0.595
7,0.595
8,0.5983333333333334
9,0.5983333333333334
10,0.6033333333333333
11,0.675
12,0.7016666666666667
13,0.74
14,0.7833333333333333
15,0.76
16,0.7633333333333333
17,0.7550000000000001
18,0.6483333333333332
19,0.6283333333333333
20,0.6166666666666667
21,0.6016666666666668
22,0.6
23,0.5966666666666667
24,0.5916666666666666
25,0.5900000000000001
26,0.5883333333333334
27,0.5866666666666667
28,0.6033333333333333
29,0.5966666666666667
30,0.6533333333333333
31,0.6783333333333333
