layer,sep_score
1,0.5416666666666666
2,0.48166666666666663
3,0.49499999999999994
4,0.4966666666666667
5,0.54
6,0.5466666666666666
7,0.5133333333333333
8,0.54
9,0.5383333333333333
10,0.49833333333333324
11,0.5399999999999999
12,0.6233333333333333
13,0.7066666666666667
14,0.7466666666666667
15,0.7333333333333334
16,0.7066666666666667
17,0.7266666666666668
18,0.7166666666666666
19,0.7150000000000001
20,0.7016666666666668
21,0.7183333333333334
22,0.7216666666666667
23,0.7266666666666666
24,0.7266666666666666
25,0.7233333333333333
26,0.7216666666666666
27,0.7233333333333333
28,0.7233333333333333
29,0.7233333333333333
30,0.7233333333333333
31,0.7216666666666666
