layer,sep_score
1,0.5349999999999999
2,0.7866666666666667
3,0.9983333333333334
4,0.9633333333333333
5,1.0
6,1.0
7,1.0
8,0.9983333333333334
9,1.0
10,0.9966666666666667
11,0.9949999999999999
12,0.9949999999999999
13,0.9916666666666668
14,0.9949999999999999
15,0.9949999999999999
16,0.9833333333333332
17,0.9899999999999999
18,0.9933333333333334
19,0.9933333333333334
20,0.985
21,0.9966666666666667
22,0.9933333333333334
23,0.9933333333333334
24,0.9433333333333334
25,0.8866666666666665
26,0.8949999999999999
27,0.8933333333333333
28,0.9533333333333334
29,0.9549999999999998
30,0.9949999999999999
31,0.9333333333333332
