layer,sep_score
1,0.4050000000000001
2,0.42833333333333334
3,0.42000000000000004
4,0.4283333333333334
5,0.4166666666666667
6,0.42333333333333334
7,0.42666666666666664
8,0.44333333333333336
9,0.3933333333333333
10,0.495
11,0.75
12,0.7466666666666667
13,0.8166666666666667
14,0.8
15,0.8166666666666668
16,0.8033333333333333
17,0.8016666666666667
18,0.7966666666666666
19,0.7816666666666665
20,0.7816666666666666
21,0.7783333333333333
22,0.7766666666666666
23,0.7766666666666666
24,0.7433333333333334
25,0.7416666666666666
26,0.7216666666666666
27,0.73
28,0.7216666666666667
29,0.715
30,0.71
31,0.7300000000000001
