layer,sep_score
1,0.7666666666666666
2,0.735
3,0.6866666666666666
4,0.615
5,0.7716666666666667
6,0.8016666666666665
7,0.6166666666666666
8,0.9683333333333334
9,0.9666666666666666
10,0.9433333333333331
11,0.875
12,0.8583333333333334
13,0.8300000000000001
14,0.9583333333333333
15,0.9733333333333333
16,0.9949999999999999
17,0.9349999999999999
18,0.9966666666666667
19,0.9983333333333334
20,0.9983333333333334
21,0.9949999999999999
22,0.9916666666666668
23,0.9883333333333333
24,0.9966666666666667
25,0.9949999999999999
26,0.9850000000000001
27,0.9866666666666667
28,0.9833333333333332
29,0.9833333333333332
30,0.9850000000000001
31,0.9833333333333334
