layer,sep_score
1,0.7166666666666668
2,0.6483333333333333
3,0.8133333333333332
4,0.8033333333333333
5,0.7066666666666667
6,0.7566666666666666
7,0.6766666666666666
8,0.675
9,0.9933333333333334
10,0.8416666666666666
11,0.7749999999999999
12,0.7683333333333333
13,0.9016666666666666
14,0.8866666666666667
15,0.8133333333333332
16,0.7766666666666667
17,0.79
18,0.7816666666666666
19,0.7566666666666666
20,0.8400000000000001
21,0.8866666666666667
22,0.9566666666666667
23,0.9916666666666668
24,0.9916666666666668
25,0.9916666666666666
26,0.99
27,0.99
28,0.9733333333333333
29,0.9666666666666666
30,0.9650000000000001
31,0.8966666666666667
