layer,sep_score
1,0.7266666666666668
2,0.845
3,0.8699999999999999
4,0.8700000000000001
5,0.7733333333333333
6,0.8816666666666666
7,0.7333333333333334
8,0.6833333333333333
9,0.8966666666666667
10,0.9049999999999999
11,0.8916666666666666
12,0.9099999999999999
13,0.9683333333333334
14,0.8833333333333332
15,0.6666666666666666
16,0.7616666666666667
17,0.77
18,0.7383333333333334
19,0.7449999999999999
20,0.7066666666666667
21,0.66
22,0.5883333333333333
23,0.46499999999999997
24,0.5683333333333334
25,0.595
26,0.5516666666666667
27,0.5666666666666667
28,0.5683333333333334
29,0.6066666666666667
30,0.6233333333333333
31,0.6633333333333333
