layer,sep_score
1,0.46499999999999997
2,0.4483333333333334
3,0.4883333333333334
4,0.5033333333333333
5,0.49000000000000005
6,0.5
7,0.4883333333333333
8,0.5266666666666666
9,0.5166666666666666
10,0.5283333333333333
11,0.6799999999999999
12,0.7466666666666667
13,0.7533333333333333
14,0.7633333333333333
15,0.7883333333333333
16,0.7816666666666666
17,0.775
18,0.77
19,0.7483333333333333
20,0.7416666666666666
21,0.725
22,0.71
23,0.6849999999999999
24,0.6883333333333334
25,0.7016666666666667
26,0.6983333333333334
27,0.6983333333333334
28,0.6766666666666665
29,0.6799999999999999
30,0.6766666666666666
31,0.665
