layer,sep_score
1,0.8066666666666666
2,0.7383333333333334
3,0.7866666666666666
4,0.8033333333333333
5,0.7366666666666667
6,0.74
7,0.6233333333333333
8,0.6816666666666666
9,0.9766666666666666
10,0.9766666666666668
11,0.8983333333333334
12,0.9833333333333332
13,1.0
14,1.0
15,1.0
16,0.9983333333333334
17,0.9949999999999999
18,0.9949999999999999
19,0.9949999999999999
20,0.9949999999999999
21,0.9883333333333333
22,0.99
23,0.9916666666666666
24,0.9949999999999999
25,0.9833333333333334
26,0.975
27,0.9650000000000001
28,0.9383333333333335
29,0.9433333333333334
30,0.9316666666666666
31,0.9833333333333332
