layer,sep_score
1,0.6683333333333334
2,0.6683333333333333
3,0.6033333333333334
4,0.6533333333333332
5,0.6066666666666667
6,0.7733333333333332
7,0.7899999999999999
8,0.9133333333333333
9,0.93
10,0.8766666666666666
11,0.7966666666666666
12,0.79
13,0.825
14,0.835
15,0.9216666666666666
16,0.9483333333333333
17,0.9216666666666666
18,0.9433333333333334
19,0.9783333333333333
20,0.9633333333333333
21,0.9850000000000001
22,0.9850000000000001
23,0.9800000000000001
24,0.9816666666666667
25,0.9800000000000001
26,0.9783333333333333
27,0.9733333333333333
28,0.9766666666666666
29,0.97
30,0.9716666666666667
31,0.9650000000000001
