layer,sep_score
1,0.47000000000000003
2,0.48
3,0.495
4,0.49833333333333335
5,0.5033333333333334
6,0.5316666666666666
7,0.5716666666666668
8,0.555
9,0.5366666666666667
10,0.49000000000000005
11,0.4766666666666667
12,0.7866666666666667
13,0.76
14,0.7733333333333333
15,0.7666666666666667
16,0.7666666666666667
17,0.7433333333333334
18,0.7083333333333333
19,0.6966666666666667
20,0.6633333333333333
21,0.6683333333333332
22,0.6633333333333333
23,0.6583333333333333
24,0.6566666666666666
25,0.6583333333333333
26,0.6533333333333333
27,0.655
28,0.6399999999999999
29,0.6333333333333333
30,0.6449999999999999
31,0.6416666666666667
