layer,sep_score
1,0.5016666666666667
2,0.4866666666666667
3,0.4883333333333334
4,0.5666666666666667
5,0.5683333333333334
6,0.5116666666666666
7,0.5316666666666666
8,0.5466666666666666
9,0.5383333333333333
10,0.4966666666666666
11,0.48166666666666663
12,0.72
13,0.6733333333333335
14,0.6833333333333333
15,0.69
16,0.6983333333333334
17,0.7066666666666667
18,0.6749999999999999
19,0.6616666666666667
20,0.6433333333333333
21,0.6366666666666667
22,0.64
23,0.6366666666666667
24,0.6366666666666667
25,0.635
26,0.635
27,0.6316666666666666
28,0.6316666666666666
29,0.63
30,0.6433333333333333
31,0.6383333333333333
