layer,sep_score
1,0.41500000000000004
2,0.40166666666666667
3,0.4116666666666666
4,0.42833333333333334
5,0.4066666666666666
6,0.385
7,0.4033333333333333
8,0.4716666666666667
9,0.4866666666666667
10,0.4666666666666667
11,0.7699999999999999
12,0.8216666666666667
13,0.8333333333333334
14,0.8016666666666667
15,0.7416666666666667
16,0.7683333333333333
17,0.74
18,0.7416666666666666
19,0.7333333333333334
20,0.7183333333333334
21,0.7233333333333334
22,0.7233333333333334
23,0.7183333333333334
24,0.7116666666666667
25,0.7183333333333333
26,0.7316666666666667
27,0.735
28,0.7283333333333333
29,0.7383333333333333
30,0.74
31,0.7733333333333332
