layer,sep_score
1,0.8666666666666666
2,0.8150000000000001
3,0.6566666666666666
4,0.7333333333333334
5,0.7983333333333332
6,0.8383333333333333
7,0.7566666666666666
8,0.8866666666666667
9,0.9333333333333333
10,0.9316666666666666
11,0.9
12,0.7666666666666667
13,0.6983333333333334
14,0.8016666666666667
15,0.9299999999999999
16,0.9716666666666667
17,0.7716666666666667
18,0.7716666666666667
19,0.7533333333333333
20,0.7416666666666667
21,0.71
22,0.7316666666666667
23,0.6483333333333332
24,0.5216666666666667
25,0.5549999999999999
26,0.6266666666666667
27,0.605
28,0.5716666666666667
29,0.5599999999999999
30,0.5983333333333334
31,0.6633333333333333
