layer,sep_score
1,0.5566666666666666
2,0.5216666666666667
3,0.6
4,0.7133333333333333
5,0.6716666666666666
6,0.7666666666666667
7,0.705
8,0.8800000000000001
9,0.8683333333333334
10,0.8266666666666665
11,0.7933333333333333
12,0.7550000000000001
13,0.7033333333333334
14,0.7083333333333333
15,0.7816666666666666
16,0.8283333333333334
17,0.7283333333333334
18,0.8016666666666665
19,0.8116666666666665
20,0.825
21,0.85
22,0.8633333333333333
23,0.85
24,0.8233333333333333
25,0.8366666666666666
26,0.915
27,0.9033333333333333
28,0.8516666666666666
29,0.8400000000000001
30,0.8600000000000001
31,0.7683333333333333
