layer,sep_score
1,0.52
2,0.5083333333333333
3,0.49833333333333335
4,0.575
5,0.555
6,0.5616666666666668
7,0.5633333333333332
8,0.5433333333333332
9,0.5533333333333333
10,0.5816666666666667
11,0.5633333333333332
12,0.805
13,0.795
14,0.7916666666666666
15,0.7883333333333333
16,0.7716666666666667
17,0.765
18,0.7616666666666667
19,0.7633333333333334
20,0.75
21,0.7533333333333333
22,0.7450000000000001
23,0.7383333333333333
24,0.725
25,0.7416666666666668
26,0.7433333333333333
27,0.7433333333333333
28,0.7466666666666665
29,0.7466666666666667
30,0.7583333333333334
31,0.765
